activation_id,customer_id,campaign_name,activation_date,channel,segment_used,data_fields_used,outcome,revenue_attributed_eur,consent_verified_at_send,activation_approved_by,destination_platform
ACT-00001,CRM-00293,Re-engagement Q3,2023-05-07,SMS,High-Value,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Marketing Ops,Klaviyo
ACT-00002,CRM-00133,New Arrivals - Electronics,2024-06-22,Paid Social - Meta,New,"email, profiling_score, segment",clicked,164.32,TRUE,CRM Team,Braze
ACT-00003,CRM-00041,Birthday Campaign,2024-10-16,In-App Banner,At-Risk,"email, segment",clicked,0,FALSE,Auto-trigger,Klaviyo
ACT-00004,CRM-00222,Spring Sale 2024,2025-03-01,Paid Social - Google,Occasional,"device_id, browsing_behaviour",opened,115.11,FALSE,CRM Team,Internal
ACT-00005,CRM-00066,Black Friday 2024,2024-08-11,SMS,High-Value,"device_id, browsing_behaviour",opened,18.51,TRUE,Data Team,Google Ads
ACT-00006,CRM-00030,Post-Purchase Upsell,2023-10-21,Email,At-Risk,"email, profiling_score, segment",opened,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00007,CRM-00077,Re-engagement Q3,2023-04-22,Paid Social - Google,Loyal,"device_id, browsing_behaviour",no_response,0,FALSE,CRM Team,Google Ads
ACT-00008,CRM-00276,Post-Purchase Upsell,2024-07-06,SMS,Occasional,"email, sms, segment, ltv, last_order_date",clicked,95.8,TRUE,Marketing Ops,Meta Ads Manager
ACT-00009,CRM-00123,Black Friday 2024,2023-10-27,In-App Banner,Occasional,"email, segment",converted,283.02,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00010,CRM-00298,Re-engagement Q3,2023-08-20,Paid Social - Meta,Loyal,"device_id, browsing_behaviour",clicked,0,FALSE,CRM Team,Internal
ACT-00011,CRM-00193,Win-Back 90d,2023-08-25,In-App Banner,Loyal,"email, segment, ltv",unsubscribed,0,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00012,CRM-00267,Spring Sale 2024,2024-02-11,Display Retargeting,Loyal,"email, purchase_history, category_affinity",bounced,0,TRUE,Marketing Ops,Google Ads
ACT-00013,CRM-00268,Loyalty Reward,2024-06-26,SMS,At-Risk,"email, segment, ltv",no_response,234.91,TRUE,CRM Team,Klaviyo
ACT-00014,CRM-00029,New Arrivals - Electronics,2024-05-03,In-App Banner,At-Risk,"email, sms, segment, ltv, last_order_date",clicked,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00015,CRM-00278,VIP Early Access,2023-12-18,SMS,Loyal,"email, segment, ltv",no_response,0,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00016,CRM-00184,Birthday Campaign,2023-01-28,Push Notification,Occasional,"email, segment",unsubscribed,94.46,TRUE,Marketing Ops,Meta Ads Manager
ACT-00017,CRM-00029,Cart Abandonment,2024-08-23,Email,Occasional,"email, purchase_history, category_affinity",clicked,0,TRUE,Auto-trigger,Internal
ACT-00018,CRM-00076,Black Friday 2024,2023-05-23,Push Notification,Loyal,"email, profiling_score, segment",opened,0,TRUE,Data Team,Internal
ACT-00019,CRM-00180,Loyalty Reward,2025-02-13,SMS,At-Risk,"email, purchase_history, category_affinity",converted,202.88,TRUE,Data Team,Google Ads
ACT-00020,CRM-00224,New Arrivals - Electronics,2024-02-22,Display Retargeting,Occasional,"email, sms, segment, ltv, last_order_date",clicked,1.09,TRUE,Marketing Ops,Braze
ACT-00021,CRM-00282,VIP Early Access,2023-07-19,Paid Social - Google,At-Risk,"device_id, browsing_behaviour",bounced,0,FALSE,Auto-trigger,Salesforce Marketing Cloud
ACT-00022,CRM-00073,Spring Sale 2024,2023-06-24,Email,At-Risk,"email, purchase_history, category_affinity",no_response,0,TRUE,Marketing Ops,Google Ads
ACT-00023,CRM-00143,Win-Back 90d,2025-04-14,Display Retargeting,New,"device_id, browsing_behaviour",bounced,0,TRUE,CRM Team,Braze
ACT-00024,CRM-00084,Cart Abandonment,2025-01-10,Paid Social - Google,High-Value,"email, segment",opened,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00025,CRM-00051,Post-Purchase Upsell,2023-06-11,In-App Banner,New,"device_id, browsing_behaviour",unsubscribed,0,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00026,CRM-00228,Post-Purchase Upsell,2023-08-09,Paid Social - Google,New,"device_id, browsing_behaviour",clicked,245.21,TRUE,Marketing Ops,Klaviyo
ACT-00027,CRM-00219,Spring Sale 2024,2024-09-13,Email,New,"device_id, browsing_behaviour",no_response,98.83,TRUE,Data Team,Braze
ACT-00028,CRM-00278,Loyalty Reward,2024-09-08,In-App Banner,Loyal,"email, purchase_history, category_affinity",clicked,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00029,CRM-00147,Loyalty Reward,2024-06-01,Email,Loyal,"email, segment, ltv",bounced,0,TRUE,Data Team,Internal
