transaction_id,device_or_customer_id,transaction_date,product_name,product_category,quantity,unit_price_eur,total_amount_eur,order_status,payment_method,acquisition_source,discount_applied,discount_pct
TXN-000001,ANON-615524,2023-04-29,Protein Powder,Food & Drink,1,150.52,150.52,completed,Apple Pay,website,FALSE,0
TXN-000002,ANON-301814,2024-10-23,Plant Pot Set,Home & Garden,3,331.28,993.84,completed,Debit Card,website,FALSE,0
TXN-000003,ANON-248407,2023-07-19,Running Jacket,Clothing,2,42.4,84.8,returned,Apple Pay,organic_search,FALSE,11.2
TXN-000004,CRM-00048,2022-05-07,Green Tea Set,Food & Drink,1,229,229,completed,Debit Card,website,FALSE,11.4
TXN-000005,ANON-282112,2023-06-12,The Lean Startup,Books,3,496.65,1489.95,completed,Buy Now Pay Later,referral,TRUE,0
TXN-000006,CRM-00269,2024-03-03,Running Shoes,Sports,1,385.06,385.06,completed,Buy Now Pay Later,paid_social,FALSE,0
TXN-000007,CRM-00203,2022-03-02,Atomic Habits,Books,4,346.96,1387.84,cancelled,Apple Pay,mobile_app,FALSE,0
TXN-000008,CRM-00035,2025-02-10,Vitamin C Serum,Beauty,4,334.78,1339.12,completed,PayPal,website,TRUE,0
TXN-000009,CRM-00223,2023-07-28,USB-C Hub,Electronics,4,385.44,1541.76,completed,Debit Card,paid_social,TRUE,23.5
TXN-000010,ANON-860206,2023-04-07,Tyre Inflator,Automotive,3,132.12,396.36,completed,Apple Pay,referral,FALSE,0
TXN-000011,CRM-00258,2022-11-07,Water Bottle,Sports,1,390.68,390.68,completed,Credit Card,paid_social,TRUE,22.2
TXN-000012,CRM-00004,2023-12-01,Jump Starter,Automotive,4,141.98,567.92,completed,Apple Pay,website,TRUE,0
TXN-000013,CRM-00014,2024-03-15,Art Kit,Toys,1,35.82,35.82,completed,Debit Card,paid_social,TRUE,0
TXN-000014,CRM-00110,2022-10-09,Building Blocks,Toys,3,196.96,590.88,completed,Apple Pay,organic_search,FALSE,21.3
TXN-000015,CRM-00277,2022-06-29,Water Bottle,Sports,4,497,1988,completed,Debit Card,website,FALSE,0
TXN-000016,CRM-00054,2024-02-22,Merino Wool Sweater,Clothing,4,132.57,530.28,completed,Debit Card,referral,FALSE,0
TXN-000017,CRM-00289,2024-12-02,Green Tea Set,Food & Drink,3,406.52,1219.56,returned,Debit Card,referral,TRUE,0
TXN-000018,CRM-00011,2023-04-11,Protein Powder,Food & Drink,1,92.9,92.9,completed,Google Pay,mobile_app,TRUE,11.1
TXN-000019,CRM-00241,2024-05-04,Probiotic,Health,4,39.28,157.12,completed,Apple Pay,organic_search,FALSE,0
TXN-000020,CRM-00215,2023-05-08,Green Tea Set,Food & Drink,1,488.83,488.83,completed,Buy Now Pay Later,referral,FALSE,0
TXN-000021,CRM-00197,2025-03-19,Running Jacket,Clothing,2,104.13,208.26,completed,Debit Card,referral,FALSE,0
TXN-000022,CRM-00068,2022-11-09,Dark Chocolate,Food & Drink,3,198.96,596.88,completed,Buy Now Pay Later,email_campaign,FALSE,0
TXN-000023,CRM-00075,2024-05-23,Organic Coffee,Food & Drink,4,323.87,1295.48,completed,PayPal,mobile_app,FALSE,0
TXN-000024,CRM-00275,2023-10-02,Deep Work,Books,3,58.56,175.68,completed,Credit Card,mobile_app,FALSE,0
TXN-000025,CRM-00096,2023-11-06,Slim Fit Jeans,Clothing,2,272.07,544.14,pending,PayPal,referral,FALSE,0
TXN-000026,CRM-00248,2024-07-08,Green Tea Set,Food & Drink,3,218.04,654.12,cancelled,Debit Card,mobile_app,FALSE,0
TXN-000027,CRM-00172,2025-01-15,Smart Watch,Electronics,3,308.3,924.9,completed,Debit Card,email_campaign,FALSE,0
TXN-000028,CRM-00036,2022-09-27,Winter Coat,Clothing,4,57.49,229.96,completed,Apple Pay,mobile_app,FALSE,0
TXN-000029,CRM-00202,2023-02-28,Puzzle 1000pc,Toys,2,223.14,446.28,returned,Buy Now Pay Later,paid_social,FALSE,0
TXN-000030,CRM-00016,2022-10-11,Remote Control Car,Toys,4,132.94,531.76,completed,Google Pay,mobile_app,TRUE,22.2
TXN-000031,CRM-00067,2025-04-04,Smart Watch,Electronics,1,22.22,22.22,completed,Debit Card,referral,FALSE,16.4
TXN-000032,CRM-00155,2025-01-13,Tyre Inflator,Automotive,2,39.78,79.56,completed,Credit Card,organic_search,FALSE,0
TXN-000033,CRM-00014,2023-02-19,Dash Cam,Automotive,3,364.41,1093.23,completed,Debit Card,email_campaign,TRUE,0
TXN-000034,ANON-414815,2022-10-10,Smart Watch,Electronics,3,388.96,1166.88,completed,Credit Card,referral,FALSE,0
TXN-000035,CRM-00264,2023-09-25,Merino Wool Sweater,Clothing,1,14.27,14.27,completed,Apple Pay,website,FALSE,6
TXN-000036,CRM-00260,2024-12-08,Sleep Aid,Health,3,250.86,752.58,completed,Debit Card,email_campaign,FALSE,0
TXN-000037,CRM-00233,2022-10-04,Omega-3 Capsules,Health,4,327.52,1310.08,completed,Apple Pay,website,TRUE,20.2
TXN-000038,CRM-00094,2024-05-30,Vitamin C Serum,Beauty,2,5.43,10.86,completed,Buy Now Pay Later,mobile_app,FALSE,0
TXN-000039,CRM-00026,2022-10-25,Dash Cam,Automotive,1,23.69,23.69,completed,Apple Pay,referral,FALSE,0
TXN-000040,CRM-00138,2025-03-02,Dash Cam,Automotive,1,197.9,197.9,completed,Credit Card,website,FALSE,18.8
TXN-000041,CRM-00111,2022-11-20,Foam Roller,Sports,3,79.89,239.67,completed,Buy Now Pay Later,referral,FALSE,0
TXN-000042,CRM-00088,2023-10-13,Green Tea Set,Food & Drink,3,167.94,503.82,completed,Google Pay,paid_social,FALSE,7.3
TXN-000043,ANON-243294,2022-05-19,Atomic Habits,Books,1,198.32,198.32,completed,Debit Card,website,FALSE,0
TXN-000044,CRM-00222,2025-02-15,The Lean Startup,Books,4,6.83,27.32,cancelled,Buy Now Pay Later,website,TRUE,0
TXN-000045,CRM-00073,2024-12-27,Wireless Earbuds,Electronics,4,354.56,1418.24,completed,Credit Card,organic_search,FALSE,0
TXN-000046,CRM-00111,2022-08-31,Yoga Mat,Sports,2,385.87,771.74,cancelled,Google Pay,paid_social,FALSE,0
TXN-000047,ANON-625021,2023-01-13,Olive Oil,Food & Drink,3,241.2,723.6,completed,Credit Card,website,TRUE,0
TXN-000048,CRM-00300,2023-10-13,The Pragmatic Programmer,Books,1,204.53,204.53,completed,Apple Pay,website,FALSE,9.8
TXN-000049,CRM-00233,2022-10-26,Car Phone Mount,Automotive,3,364.52,1093.56,completed,Apple Pay,mobile_app,FALSE,0
